pr_id,n_comments,id,merged
2901331792,2,2901331792,1
2901506327,2,2901506327,1
2901541408,2,2901541408,1
2901546716,3,2901546716,0
2901556657,2,2901556657,1
2901577117,4,2901577117,0
2901612191,3,2901612191,1
2901619958,3,2901619958,1
2901620466,3,2901620466,1
2901653641,5,2901653641,1
2901668634,2,2901668634,0
2901672003,2,2901672003,0
2901677234,4,2901677234,0
2901688039,1,2901688039,0
2901772831,9,2901772831,1
2901864730,1,2901864730,1
2901959237,3,2901959237,0
2902050510,3,2902050510,1
2902309263,2,2902309263,0
2902796110,3,2902796110,1
2902818768,4,2902818768,0
2902873141,3,2902873141,0
2902941522,3,2902941522,1
2902945011,4,2902945011,0
